102.34,44.492,32.734,995.31,1000,7955.7
106.38,87.759,79.774,400,400,754.7
110,65,65,400,700,6593
93.277,73.928,76.133,786.68,796.89,352.42
91.426,100,93.54,1000,1000,588.32
94.877,85.374,64.631,778.51,731.26,1520.2
110,100,100,400,714.85,4702
90,100,65,700,400,2096.7
97.807,78.301,77.921,791.77,831.43,853.98
70,100,65,1000,400,4387.8
75,100,100,1000,1000,1359.7
100,92.07,82.773,784.08,742.19,580.65
70,100,100,1000,1000,1984.7
94.759,82.812,72.401,739.71,789.29,324.73
90.776,100,88.883,761.05,937.96,455.8
93.576,83.803,72.869,722.27,797.7,725.44
94.219,81.953,77.305,735.16,812.5,343.75
89.688,100,65,400,775,3198.8
90,100,73.75,700,700,935.21
110,65,100,1000,1000,7368.5
110,30,65,700,700,10850
70,65,30,700,1000,9184.3
95.625,81.68,72.93,685.94,793.75,322.91
94.759,82.812,72.401,739.71,789.29,324.73
84.082,92.891,86.021,657.23,579.3,2012.8
91.328,79.207,90.65,992.06,851.4,414.62
91.938,77.63,71.394,812.1,854.21,348.95
94.308,81.81,73.203,777.99,795.95,340.93
110,100,100,1000,400,2350.4
95.625,77.852,73.75,749.22,779.69,316.42
70,100,65,1000,400,4387.8
110,30,65,700,700,10850
94.688,91.25,86.875,739.84,821.88,389.88
97.314,100,30,1000,400,7831.4
110,71.836,100,700,700,3252.6
86.758,30.231,51.875,1000,700,10383
98.281,78.398,70.469,763.28,791.41,377.84
105.16,34.58,30,1000,1000,7059.9
